"No.","業種検索","地域","件数","会社名","郵便番号","住所","電子メール","URL","コメント","電話番号 1","FAX番号 1","電話番号 2","FAX番号 2","電話番号 3","FAX番号 3","電話番号 4","FAX番号 4","座標X","座標Ｙ","icon","iLv","LocName","fX","fY","iConf","iLvl"
,,,,まんぷく亭かわむら,039-2225,青森県上北郡おいらせ町上明堂１０７－１,,,,0178-52-2598,,,,,,,,,,,,"青森県/上北郡/おいらせ町/上明堂/１０７番地","141.42970","40.59447","5","7"
,,,,まんぼう居酒屋,036-8092,青森県弘前市大字城東北３丁目１２－４,,,,0172-28-4450,,,,,,,,,,,,"青森県/弘前市/城東北/三丁目/１２番","140.49707","40.60562","5","7"
,,,,みかど,033-0001,青森県三沢市中央町２丁目３－３１,,,,0176-52-6566,,,,,,,,,,,,"青森県/三沢市/中央町/二丁目/３番","141.36606","40.68428","5","7"
,,,,三葵,038-3661,青森県北津軽郡板柳町大字福野田字本泉６９－９,,,,0172-73-4391,,,,,,,,,,,,"青森県/北津軽郡/板柳町/福野田/本泉/６９番地","140.46095","40.69348","5","7"
,,,,みさわ横丁倶楽部,033-0001,青森県三沢市中央町２丁目６－４７,,,,0176-53-3337,,,,,,,,,,,,"青森県/三沢市/中央町/二丁目/６番","141.36491","40.68281","5","7"
,,,,味知飲食,031-0088,青森県八戸市大字岩泉町７,,,,0178-22-7355,,,,,,,,,,,,"青森県/八戸市/岩泉町/７番地","141.49413","40.50913","5","7"
,,,,みつのや．,035-0032,青森県むつ市上川町２－３９－１Ｆ,,,,0175-23-2115,,,,,,,,,,,,"青森県/むつ市/上川町/２番","141.22037","41.29776","5","7"
,,,,みづき,036-0103,青森県平川市本町南柳田４０－８－１０２,,,,0172-44-5695,,,,,,,,,,,,"青森県/平川市/本町南柳田/４０番地","140.56270","40.58204","5","7"
,,,,南のご馳走屋エトワール,031-0042,青森県八戸市大字十三日町１－Ｂ１,,,,0178-44-9800,,,,,,,,,,,,"青森県/八戸市/十三日町/１番地","141.48882","40.50887","5","7"
,,,,宮政隠れ家,031-0031,青森県八戸市大字番町１,,,,0178-47-5313,,,,,,,,,,,,"青森県/八戸市/番町/１番地","141.48784","40.50990","5","7"
,,,,昔ばなし,035-0035,青森県むつ市本町４－２５,,,,0175-23-5720,,,,,,,,,,,,"青森県/むつ市/本町/４番","141.21297","41.29510","5","7"
,,,,村さ来青森観光通店,030-0122,青森県青森市大字野尻字今田９８－４,,,,017-728-9538,,,,,,,,,,,,"青森県/青森市/野尻/今田","140.76732","40.78589","5","6"
,,,,村さ来黒石店,036-0304,青森県黒石市大字甲徳兵衛町１２,,,,0172-53-3974,,,,,,,,,,,,"青森県/黒石市/甲徳兵衛町","140.59518","40.64551","5","5"
,,,,村八武,039-5331,青森県むつ市脇野沢渡向２６－４,,,,0175-44-3362,,,,,,,,,,,,"青森県/むつ市/脇野沢","140.80974","41.17827","5","5"
,,,,めし処大夢,035-0035,青森県むつ市本町４－６,,,,0175-31-0559,,,,,,,,,,,,"青森県/むつ市/本町/４番","141.21297","41.29510","5","7"
,,,,土竜,036-8227,青森県弘前市大字桔梗野４丁目１－１,,,,0172-33-1611,,,,,,,,,,,,"青森県/弘前市/桔梗野/四丁目/１番","140.46275","40.58907","5","7"
,,,,もっきり家ガンバレ父ちゃん,031-0089,青森県八戸市大字長横町１８,,,,0178-22-6345,,,,,,,,,,,,"青森県/八戸市/長横町/１８番地","141.49245","40.50882","5","7"
,,,,もつ焼きこしけん,030-0802,青森県青森市本町５丁目４－１６－１０３,,,,017-774-0116,,,,,,,,,,,,"青森県/青森市/本町/五丁目/４番","140.75127","40.82587","5","7"
,,,,もみじや,036-8035,青森県弘前市大字百石町６－２－２Ｆ,,,,0172-32-4890,,,,,,,,,,,,"青森県/弘前市/百石町/６番地","140.47220","40.60362","5","7"
,,,,桃川の酒蔵,031-0033,青森県八戸市大字六日町１９－１,,,,0178-43-8265,,,,,,,,,,,,"青森県/八戸市/六日町/１９番地","141.49120","40.50915","5","7"
,,,,百代,030-0802,青森県青森市本町２丁目３－１１,,http://www.actv.ne.jp/~momoyo/,,017-776-5820,,,,,,,,,,,,"青森県/青森市/本町/二丁目/３番","140.74719","40.82656","5","7"
,,,,盛田茂樹,039-2525,青森県上北郡七戸町字七戸２３７－２,,,,0176-62-6728,,,,,,,,,,,,"青森県/上北郡/七戸町/七戸/２３７番地","141.15289","40.69611","5","7"
,,,,焼とり酒場ぎんいち,033-0001,青森県三沢市中央町３丁目９－１,,,,0176-27-6610,,,,,,,,,,,,"青森県/三沢市/中央町/三丁目/９番","141.36240","40.67910","5","7"
,,,,やきとり大八,038-3503,青森県北津軽郡鶴田町大字鶴田字生松１２６－１６,,,,0173-22-7881,,,,,,,,,,,,"青森県/北津軽郡/鶴田町/鶴田/生松/１２６番地","140.43240","40.75882","5","7"
,,,,やきとり大八,038-3136,青森県つがる市木造萩野６－３６,,,,0173-42-7291,,,,,,,,,,,,"青森県/つがる市/木造萩野/６番地","140.38190","40.81055","5","7"
,,,,やきとり寄鳥味鳥,035-0034,青森県むつ市田名部町３－６,,,,0175-22-6840,,,,,,,,,,,,"青森県/むつ市/田名部町/３番","141.21423","41.29435","5","7"
,,,,焼肉食堂しるや,039-2661,青森県上北郡東北町字上笹橋２７－１０,,,,0175-63-3940,,,,,,,,,,,,"青森県/上北郡/東北町/上笹橋/２７番地","141.21342","40.77990","5","7"
,,,,焼肉ホルモンガっつ／小柳店,030-0915,青森県青森市小柳３丁目３－２,,,,017-765-5125,,,,,,,,,,,,"青森県/青森市/小柳/三丁目/３番","140.79254","40.81963","5","7"
,,,,八っぱり,031-0822,青森県八戸市大字白銀町字右岩淵通２４－７,,,,0178-34-1882,,,,,,,,,,,,"青森県/八戸市/白銀町/右岩淵通/２４番地","141.53444","40.52169","5","7"
,,,,山内農場青森駅前店,030-0801,青森県青森市新町１丁目１－１８－２Ｆ,,http://www.monteroza.co.jp,,017-773-9988,,,,,,,,,,,,"青森県/青森市/新町/一丁目/１番","140.73615","40.82833","5","7"
,,,,山小屋,034-0107,青森県十和田市大字洞内字井戸頭１４４－７２７,,,,0176-27-3876,,,,,,,,,,,,"青森県/十和田市/洞内/井戸頭/１４４番地","141.19879","40.65428","5","7"
,,,,山ざと,030-0801,青森県青森市新町２丁目６－１９,,,,017-773-2387,,,,,,,,,,,,"青森県/青森市/新町/二丁目/６番","140.74268","40.82622","5","7"
,,,,やまだ屋,037-0074,青森県五所川原市字岩木町１６－４,,http://yamadaya.main.jp/,,0173-33-0243,,,,,,,,,,,,"青森県/五所川原市/岩木町/１６番地","140.44009","40.80887","5","7"
,,,,やまびこやきとり,033-0021,青森県三沢市岡三沢８丁目８３－２,,,,0176-53-8585,,,,,,,,,,,,"青森県/三沢市/岡三沢/八丁目/８３番地","141.36972","40.69434","5","7"
,,,,やまぼう志,030-0966,青森県青森市花園２丁目４３－２４,,,,017-744-2777,,,,,,,,,,,,"青森県/青森市/花園/二丁目/４３番","140.77539","40.82302","5","7"
,,,,やわたうま,031-0032,青森県八戸市大字三日町１－１,,,,0178-44-5550,,,,,,,,,,,,"青森県/八戸市/三日町/１番地","141.49057","40.50983","5","7"
,,,,ゆう（ＹＯＵ）カラオケ喫茶居酒屋,038-0003,青森県青森市大字石江字高間１１２－３７,,,,017-766-7351,,,,,,,,,,,,"青森県/青森市/石江/高間/１１２番地","140.69504","40.83126","5","7"
,,,,夕貴,030-0812,青森県青森市堤町１丁目１１－９,,,,017-777-5617,,,,,,,,,,,,"青森県/青森市/堤町/一丁目/１１番","140.76082","40.82480","5","7"
,,,,遊山海居酒屋,039-2405,青森県上北郡東北町上北南１丁目３１－５２８,,,,0176-56-5900,,,,,,,,,,,,"青森県/上北郡/東北町/上北南/一丁目/３１番地","141.26492","40.73201","5","7"
,,,,遊食屋ぼん,031-0088,青森県八戸市大字岩泉町５－２２,,,,0178-45-5050,,,,,,,,,,,,"青森県/八戸市/岩泉町/５番地","141.49471","40.50793","5","7"
,,,,雄艇,031-0084,青森県八戸市大字十八日町１,,,,0178-47-4568,,,,,,,,,,,,"青森県/八戸市/十八日町/１番地","141.49443","40.51196","5","7"
,,,,夕凪,036-8004,青森県弘前市大字大町１丁目９－２,,,,0172-32-7051,,,,,,,,,,,,"青森県/弘前市/大町/一丁目/９番","140.48494","40.59711","5","7"
,,,,ゆうやけこやけ,036-8155,青森県弘前市大字中野１丁目１１－１２,,,,0172-35-9219,,,,,,,,,,,,"青森県/弘前市/中野/一丁目/１１番","140.47133","40.58437","5","7"
,,,,由樹,031-0802,青森県八戸市小中野８丁目８－２９,,,,0178-47-3186,,,,,,,,,,,,"青森県/八戸市/小中野/八丁目/８番","141.52002","40.52254","5","7"
,,,,柚ず,036-8343,青森県弘前市大字東長町４５,,,,0172-36-5636,,,,,,,,,,,,"青森県/弘前市/東長町/４５番地","140.47316","40.60649","5","7"
,,,,夢あかり,037-0072,青森県五所川原市字川端町３７,,,,0173-34-5202,,,,,,,,,,,,"青森県/五所川原市/川端町/３７番地","140.44133","40.80881","5","7"
,,,,夢地,036-8191,青森県弘前市大字親方町２９,,,,0172-35-2281,,,,,,,,,,,,"青森県/弘前市/親方町","140.47028","40.60279","5","5"
,,,,酔い処団欒,036-1321,青森県弘前市大字熊嶋字豊田２６４－１,,,,0172-82-5717,,,,,,,,,,,,"青森県/弘前市/熊嶋/豊田","140.43913","40.61332","5","6"
,,,,酔い処美月,034-0031,青森県十和田市東三番町２－４３,,,,0176-22-8472,,,,,,,,,,,,"青森県/十和田市/東三番町/２番","141.21609","40.61596","5","7"
,,,,酔いどころわいわい田子町サンモール店,039-0201,青森県三戸郡田子町大字田子字天神堂向４１－２１,,,,0179-32-3529,,,,,,,,,,,,"青森県/三戸郡/田子町/田子","141.12117","40.35620","5","5"
,,,,酔イ屋,036-8192,青森県弘前市大字鍛冶町２２－１,,,,0172-34-2418,,,,,,,,,,,,"青森県/弘前市/鍛冶町/２２番地","140.47038","40.60103","5","7"
,,,,夜酔・味処,031-0033,青森県八戸市大字六日町３２,,,,0178-41-1800,,,,,,,,,,,,"青森県/八戸市/六日町/３２番地","141.49110","40.50857","5","7"
,,,,洋風居酒屋おがわ,039-3131,青森県上北郡野辺地町字野辺地１７０－１,,,,0175-64-6644,,,,,,,,,,,,"青森県/上北郡/野辺地町/野辺地","141.12776","40.86577","5","5"
,,,,洋風酒場佳,031-0031,青森県八戸市大字番町３０－２Ｆ,,,,0178-51-6330,,,,,,,,,,,,"青森県/八戸市/番町/３０番地","141.49014","40.51032","5","7"
,,,,養老乃瀧板柳店,038-3661,青森県北津軽郡板柳町大字福野田字実田９７－１５,,,,0172-73-5146,0172-73-5146,,,,,,,,,,,"青森県/北津軽郡/板柳町/福野田/実田/９７番地","140.45799","40.69846","5","7"
,,,,養老の滝黒石店,036-0376,青森県黒石市旭町２,,,,0172-53-4646,,,,,,,,,,,,"青森県/黒石市/旭町/２番地","140.60167","40.64887","5","7"
,,,,養老の滝五所川原店,037-0072,青森県五所川原市字川端町４１－３,,,,0173-35-5008,,,,,,,,,,,,"青森県/五所川原市/川端町/４１番地","140.44133","40.80881","5","7"
,,,,養老の滝／城東店,036-8086,青森県弘前市大字田園２丁目１－４,,,,0172-26-3739,,,,,,,,,,,,"青森県/弘前市/田園/二丁目/１番","140.50542","40.60379","5","7"
,,,,吉,030-0862,青森県青森市古川１丁目１９－８,,,,017-723-2839,,,,,,,,,,,,"青森県/青森市/古川/一丁目/１９番","140.73886","40.82501","5","7"
,,,,よしじん,036-8193,青森県弘前市大字新鍛冶町４－１０,,,,0172-37-3505,,,,,,,,,,,,"青森県/弘前市/新鍛冶町/４番地","140.47119","40.60176","5","7"
,,,,よしだ,030-0811,青森県青森市青柳２丁目２－２２,,,,017-722-8685,,,,,,,,,,,,"青森県/青森市/青柳/二丁目/２番","140.75533","40.82671","5","7"
,,,,与の助,035-0034,青森県むつ市田名部町１－８,,,,0175-22-4466,,,,,,,,,,,,"青森県/むつ市/田名部町/１番","141.21375","41.29526","5","7"
,,,,より道,031-0088,青森県八戸市大字岩泉町５－３Ｆ,,,,0178-45-2110,,,,,,,,,,,,"青森県/八戸市/岩泉町/５番地","141.49471","40.50793","5","7"
,,,,よろず屋,034-0011,青森県十和田市稲生町１６－４５,,,,0176-21-1189,,,,,,,,,,,,"青森県/十和田市/稲生町/１６番","141.21419","40.61496","5","7"
,,,,来‐ｒａｉ‐,037-0074,青森県五所川原市字岩木町１７－１Ｆ,,,,0173-33-0366,,,,,,,,,,,,"青森県/五所川原市/岩木町/１７番地","140.43994","40.80935","5","7"
,,,,楽久,036-8192,青森県弘前市大字鍛冶町１１,,,,0172-36-1543,,,,,,,,,,,,"青森県/弘前市/鍛冶町/１１番地","140.47038","40.60103","5","7"
,,,,樂朋,030-0802,青森県青森市本町１丁目７－１４－２０１,,,,017-777-1156,,,,,,,,,,,,"青森県/青森市/本町/一丁目/７番","140.74976","40.82517","5","7"
,,,,ラボーナ,031-0043,青森県八戸市大字十六日町３１,,,,0178-22-4964,,,,,,,,,,,,"青森県/八戸市/十六日町/３１番地","141.49002","40.50797","5","7"
,,,,ＲＩＴＳＵ,030-0802,青森県青森市本町２丁目５－４－１０１,,,,017-723-5155,,,,,,,,,,,,"青森県/青森市/本町/二丁目/５番","140.74713","40.82586","5","7"
,,,,りゅうの郷,036-1321,青森県弘前市大字熊嶋字豊田２６４－１,,,,0172-55-6626,,,,,,,,,,,,"青森県/弘前市/熊嶋/豊田","140.43913","40.61332","5","6"
,,,,良華,036-8353,青森県弘前市大字下鞘師町２,,,,0172-39-4664,,,,,,,,,,,,"青森県/弘前市/下鞘師町/２番地","140.47099","40.60564","5","7"
,,,,漁師の店海峡,039-3131,青森県上北郡野辺地町字野辺地１７５－１－１Ｆ,,,,0175-64-4230,,,,,,,,,,,,"青森県/上北郡/野辺地町/野辺地/１７５番地","141.12967","40.86600","5","7"
,,,,りらっくす,036-8053,青森県弘前市大字和泉１丁目１－５,,,,0172-28-0889,,,,,,,,,,,,"青森県/弘前市/和泉/一丁目/１番","140.49072","40.60855","5","7"
,,,,りんご茶屋,030-0802,青森県青森市本町２丁目４－２,,,,017-776-7402,,,,,,,,,,,,"青森県/青森市/本町/二丁目/４番","140.74622","40.82589","5","7"
,,,,る・庵,030-0823,青森県青森市橋本１丁目１－７,,,,017-721-2838,,,,,,,,,,,,"青森県/青森市/橋本/一丁目/１番","140.75090","40.82516","5","7"
,,,,ＬＯＵ’Ｓ,031-0088,青森県八戸市大字岩泉町１０－１Ｆ,,,,0178-47-2213,,,,,,,,,,,,"青森県/八戸市/岩泉町/１０番地","141.49390","40.50870","5","7"
,,,,れざん,030-0965,青森県青森市松森２丁目１３－６,,,,017-743-3264,,,,,,,,,,,,"青森県/青森市/松森/二丁目/１３番","140.77411","40.81765","5","7"
,,,,れんが亭,036-8004,青森県弘前市大字大町１丁目６－２－２０１,,,,0172-32-8966,,,,,,,,,,,,"青森県/弘前市/大町/一丁目/６番","140.48393","40.59716","5","7"
,,,,六兵衛,030-0862,青森県青森市古川１丁目１７－２,,,,017-776-5639,,,,,,,,,,,,"青森県/青森市/古川/一丁目/１７番","140.73769","40.82521","5","7"
,,,,ろばた鎌蔵のらくろ,030-0803,青森県青森市安方１丁目１１－９,,,,017-723-4696,,,,,,,,,,,,"青森県/青森市/安方/一丁目/１１番","140.73946","40.82775","5","7"
,,,,炉端焼居酒屋水里園,038-0024,青森県青森市浪館前田４丁目３０－２７,,,,017-735-3988,,,,,,,,,,,,"青森県/青森市/浪館前田/四丁目/３０番","140.72311","40.80968","5","7"
,,,,和,030-0112,青森県青森市大字八ツ役字芦谷２７３－１２,,,,017-739-9855,,,,,,,,,,,,"青森県/青森市/八ツ役/芦谷/２７３番地","140.75090","40.78659","5","7"
,,,,ワイワイガヤガヤ,037-0036,青森県五所川原市中央５丁目１１７,,,,0173-26-7877,,,,,,,,,,,,"青森県/五所川原市/中央/五丁目/１１７番地","140.44873","40.79308","5","7"
,,,,わいんぱぶためのぶ,036-8196,青森県弘前市大字銅屋町６３－６,,,,0172-35-9747,,,,,,,,,,,,"青森県/弘前市/銅屋町/６３番地","140.46898","40.59667","5","7"
,,,,和花,036-8221,青森県弘前市大字紙漉町４－１３,,,,0172-33-7536,,,,,,,,,,,,"青森県/弘前市/紙漉町/４番","140.47112","40.59447","5","7"
,,,,若春,036-8355,青森県弘前市大字元寺町３１－２,,,,0172-35-9500,,,,,,,,,,,,"青森県/弘前市/元寺町","140.46886","40.60547","5","5"
,,,,株式会社和がや,039-2156,青森県上北郡おいらせ町木ノ下南２－１６８８,,,,0178-56-5311,,,,,,,,,,,,"青森県/上北郡/おいらせ町/木崎","141.41454","40.59686","5","5"
,,,,和がや,033-0001,青森県三沢市中央町１丁目６－１７－１Ｆ,,,,0176-50-1558,,,,,,,,,,,,"青森県/三沢市/中央町/一丁目/６番","141.36670","40.68269","5","7"
,,,,話食処味の市,031-0802,青森県八戸市小中野７丁目１－６,,,,0178-46-3002,,,,,,,,,,,,"青森県/八戸市/小中野/七丁目/１番","141.51883","40.52085","5","7"
,,,,わのみせ八戸南類家店,031-0004,青森県八戸市南類家１丁目１１－１５,,,,0120-966258,,,,,,,,,,,,"青森県/八戸市/南類家/一丁目/１１番","141.50400","40.50209","5","7"
,,,,わのみせ八戸南類家店,031-0004,青森県八戸市南類家１丁目１１－１５,,http://www.donto.biz/,,0178-47-4010,,,,,,,,,,,,"青森県/八戸市/南類家/一丁目/１１番","141.50400","40.50209","5","7"
,,,,和風居酒屋雅,031-0033,青森県八戸市大字六日町１２,,,,0178-22-5915,,,,,,,,,,,,"青森県/八戸市/六日町/１２番地","141.49120","40.50915","5","7"
,,,,和風ダイニング祿,030-0852,青森県青森市大字大野字若宮１７５－４,,,,017-729-4655,,,,,,,,,,,,"青森県/青森市/大野/若宮/１７５番地","140.74026","40.80528","5","7"
,,,,笑人たこ焼居酒屋,031-0033,青森県八戸市大字六日町３７,,,,0178-44-3339,,,,,,,,,,,,"青森県/八戸市/六日町/３７番地","141.49110","40.50857","5","7"
,,,,わらしべ,036-0368,青森県黒石市大字横町２４,,,,0172-53-3800,,,,,,,,,,,,"青森県/黒石市/横町/２４番地","140.59532","40.64446","5","7"
,,,,わらじ屋,036-8203,青森県弘前市大字本町８５－１－１Ｆ,,,,0172-36-1178,,,,,,,,,,,,"青森県/弘前市/本町/８５番地","140.46928","40.60115","5","7"
,,,,笑笑青森駅前店,030-0801,青森県青森市新町１丁目１－１６－２Ｆ,,,,017-734-2788,,,,,,,,,,,,"青森県/青森市/新町/一丁目/１番","140.73615","40.82833","5","7"
,,,,笑笑弘前店,036-8003,青森県弘前市大字駅前町７－５－１Ｆ,,,,0172-36-2988,,,,,,,,,,,,"青森県/弘前市/駅前町/７番","140.48239","40.59809","5","7"
,,,,笑笑三沢アメリカ村店,033-0001,青森県三沢市中央町２丁目８－３４－１Ｆ,,,,0176-52-9688,,,,,,,,,,,,"青森県/三沢市/中央町/二丁目/８番","141.36511","40.68518","5","7"
22,和食,青森県,,一致するジャンルがありません,,,,,,,,,,,,,,,,,
23,肉料理,青森県,,一致するジャンルがありません,,,,,,,,,,,,,,,,,
24,喫茶店・カフェ,青森県,,一致するジャンルがありません,,,,,,,,,,,,,,,,,
25,そば・うどん,青森県,,一致するジャンルがありません,,,,,,,,,,,,,,,,,
26,スイーツ,青森県,,一致するジャンルがありません,,,,,,,,,,,,,,,,,
27,魚料理,青森県,,一致するジャンルがありません,,,,,,,,,,,,,,,,,
28,ラーメン,青森県,,一致するジャンルがありません,,,,,,,,,,,,,,,,,
29,中華・中国料理,青森県,,一致するジャンルがありません,,,,,,,,,,,,,,,,,
30,すし,青森県,,一致するジャンルがありません,,,,,,,,,,,,,,,,,
31,イタリアン・フレンチ,青森県,,一致するジャンルがありません,,,,,,,,,,,,,,,,,
32,たこ焼き・お好み焼き,青森県,,一致するジャンルがありません,,,,,,,,,,,,,,,,,
33,ファーストフード,青森県,,一致するジャンルがありません,,,,,,,,,,,,,,,,,
34,各国料理,青森県,,一致するジャンルがありません,,,,,,,,,,,,,,,,,
35,郷土料理店,青森県,56,居酒屋じょじょ（魚々）,030-0943,青森県青森市幸畑１丁目２１－２０,,,大間の本マグロ等、高級魚を格安で頂けるお店！青森大学近く,017-728-7177,,,,,,,,,,,,"青森県/青森市/幸畑/一丁目/２１番","140.77960","40.78140","5","7"
,,,,やま文,031-0812,青森県八戸市大字湊町字大沢２８,yamabun@ab.auone-net.jp,,★活魚・寿し・和食処　やま文　新鮮な浜の味をご賞味下さい,0178-33-0916,,,,,,,,,,,,"青森県/八戸市/湊町/大沢/２８番地","141.53279","40.52556","5","7"
,,,,濱藤,030-0861,青森県青森市長島１丁目３－１５,,,～体も心もあたたまる津軽の家庭の味わい～,017-776-3162,,,,,,,,,,,,"青森県/青森市/長島/一丁目/３番","140.74362","40.82391","5","7"
,,,,太一,031-0031,青森県八戸市大字番町３５－１５,office@ta-ichi.jp,http://www.ta-ichi.jp,家族連れから接待迄季節の郷土料理、会席料理をお楽しみ下さい。,0178-45-3210,,,,,,,,,,,,"青森県/八戸市/番町/３５番地","141.49014","40.51032","5","7"
,,,,とり蔵,036-8182,青森県弘前市大字土手町１４８,,,◆創作和食と本格炭火焼きの店◆ご宴会・ご会合に！,0172-32-5217,0172-32-5217,,,,,,,,,,,"青森県/弘前市/土手町/１４８番地","140.47578","40.59780","5","7"
,,,,いかめしや烹鱗,039-1101,青森県八戸市大字尻内町字館田１－１,,,,0178-70-2712,,,,,,,,,,,,"青森県/八戸市/尻内町/館田/１番地","141.43306","40.50980","5","7"
,,,,いかめしや烹鱗,039-1101,青森県八戸市大字尻内町字館田１－１,,,,,0178-70-2713,,,,,,,,,,,"青森県/八戸市/尻内町/館田/１番地","141.43306","40.50980","5","7"
,,,,居酒屋いなげ家,030-0811,青森県青森市青柳２丁目３－９,inageya@cpost.plala.or.jp,http://inageya.blog74.fc2.com/,,017-723-5708,,,,,,,,,,,,"青森県/青森市/青柳/二丁目/３番","140.75537","40.82607","5","7"
,,,,えび蔵,039-2405,青森県上北郡東北町上北南４丁目３２－５４２,,,,0176-56-5098,,,,,,,,,,,,"青森県/上北郡/東北町/上北南/四丁目/３２番地","141.25847","40.72762","5","7"
,,,,長内食堂,030-0801,青森県青森市新町１丁目１－１７,,,,017-722-6834,,,,,,,,,,,,"青森県/青森市/新町/一丁目/１番","140.73615","40.82833","5","7"
,,,,海鮮酒房浜膳,031-0011,青森県八戸市大字田向字間ノ田３７－１,yamabun@ab.auone-net.jp,,,0178-20-0461,,,,,,,,,,,,"青森県/八戸市/田向/間ノ田/３７番地","141.50822","40.49645","5","7"
,,,,海鮮寿司・蘭丸,031-0088,青森県八戸市大字岩泉町５－５－１Ｆ,,,,0178-38-9670,,,,,,,,,,,,"青森県/八戸市/岩泉町/５番地","141.49471","40.50793","5","7"
,,,,海鮮寿司・蘭丸,031-0088,青森県八戸市大字岩泉町５－５－１Ｆ,,,,,0178-38-9671,,,,,,,,,,,"青森県/八戸市/岩泉町/５番地","141.49471","40.50793","5","7"
,,,,柿源仕出し店,030-0801,青森県青森市新町１丁目８－９,,,,017-722-2933,,,,,,,,,,,,"青森県/青森市/新町/一丁目/８番","140.73732","40.82691","5","7"
,,,,からむし（苧麻）,030-0803,青森県青森市安方２丁目２－１５,,,,017-735-3822,,,,,,,,,,,,"青森県/青森市/安方/二丁目/２番","140.74138","40.82855","5","7"
,,,,きく長,030-0811,青森県青森市青柳１丁目６－４,,,,017-722-7608,,,,,,,,,,,,"青森県/青森市/青柳/一丁目/６番","140.75679","40.82812","5","7"
,,,,菊冨士本店,036-8016,青森県弘前市大字坂本町１,info@kikufuji.co.jp,http://www.kikufuji.co.jp/,,0172-36-3300,,,,,,,,,,,,"青森県/弘前市/坂本町/１番地","140.47417","40.60105","5","7"
,,,,北のまつり青森安方店,030-0803,青森県青森市安方２丁目３－２１,kita_matu@mta.biglobe.ne.jp,,,017-773-1339,,,,,,,,,,,,"青森県/青森市/安方/二丁目/３番","140.74117","40.82801","5","7"
,,,,北のまつり青森安方店,030-0803,青森県青森市安方２丁目３－２１,,,,,017-773-4431,,,,,,,,,,,"青森県/青森市/安方/二丁目/３番","140.74117","40.82801","5","7"
,,,,郷土料理西ざわ,030-0803,青森県青森市安方１丁目４－１４,,,,017-723-1007,,,,,,,,,,,,"青森県/青森市/安方/一丁目/４番","140.73795","40.82817","5","7"
,,,,郷土料理蔵,039-2654,青森県上北郡東北町字塔ノ沢山９４－１,,,,0175-63-3960,,,,,,,,,,,,"青森県/上北郡/東北町/塔ノ沢山","141.22000","40.78064","5","5"
,,,,銀波,031-0088,青森県八戸市大字岩泉町７,,,,0178-22-2426,,,,,,,,,,,,"青森県/八戸市/岩泉町/７番地","141.49413","40.50913","5","7"
,,,,蔵,031-0042,青森県八戸市大字十三日町２８,,,,0178-22-1027,,,,,,,,,,,,"青森県/八戸市/十三日町/２８番地","141.48917","40.50854","5","7"
,,,,蔵よし,036-0368,青森県黒石市大字横町１３,,,,0172-53-2111,,,,,,,,,,,,"青森県/黒石市/横町/１３番地","140.59468","40.64392","5","7"
,,,,玄武,038-2761,青森県西津軽郡鰺ヶ沢町大字舞戸町字久富１８－２,,,,0173-72-6464,,,,,,,,,,,,"青森県/西津軽郡/鰺ヶ沢町/舞戸町/久富/１８番地","140.22513","40.77457","5","7"
,,,,金剛,031-0034,青森県八戸市大字鷹匠小路１８,kongo@crocus.ocn.ne.jp,http://www.kongou-group.com,,0178-46-3322,,,,,,,,,,,,"青森県/八戸市/鷹匠小路/１８番地","141.49274","40.50779","5","7"
,,,,三十三間堂・青森ワシントンホテル,030-0802,青森県青森市本町２丁目１－２６,,http://www.aomori-wh.com/,,017-775-7111,,,,,,,,,,,,"青森県/青森市/本町/二丁目/１番","140.74673","40.82734","5","7"
,,,,芝亭,031-0841,青森県八戸市大字鮫町字棚久保１４－８３,,,,0178-39-3311,,,,,,,,,,,,"青森県/八戸市/鮫町/棚久保/１４番地","141.60841","40.50761","5","7"
,,,,芝亭磯料理,031-0841,青森県八戸市大字鮫町字棚久保１４－８３,,,,0178-39-3311,,,,,,,,,,,,"青森県/八戸市/鮫町/棚久保/１４番地","141.60841","40.50761","5","7"
,,,,芝亭磯料理,031-0841,青森県八戸市大字鮫町字棚久保１４－８３,,,,,0178-39-3315,,,,,,,,,,,"青森県/八戸市/鮫町/棚久保/１４番地","141.60841","40.50761","5","7"
,,,,しまや,036-8202,青森県弘前市大字元大工町３１－１,,,,0172-33-5066,,,,,,,,,,,,"青森県/弘前市/元大工町/３１番地","140.46669","40.60153","5","7"
,,,,下北名産センター,035-0042,青森県むつ市大曲２丁目１３－３３,masakari@poem.ocn.ne.jp,http://www.rakuten.co.jp/simokita/,,0175-22-3231,,,,,,,,,,,,"青森県/むつ市/大曲/二丁目/１３番","141.22046","41.26287","5","7"
,,,,春香,039-0802,青森県三戸郡南部町大字苫米地字神明下河原５２,,,,0178-84-3984,,,,,,,,,,,,"青森県/三戸郡/南部町/苫米地/神明下河原","141.37819","40.46642","5","6"
,,,,甚太古・正調民謡の店,030-0803,青森県青森市安方１丁目６－１６,,,,017-722-7727,,,,,,,,,,,,"青森県/青森市/安方/一丁目/６番","140.73853","40.82915","5","7"
,,,,甚太古・正調民謡の店,030-0803,青森県青森市安方１丁目６－１６,,,,017-773-3522,,,,,,,,,,,,"青森県/青森市/安方/一丁目/６番","140.73853","40.82915","5","7"
,,,,すゞめのお宿,036-8197,青森県弘前市大字桶屋町５５－４,,,,0172-35-8584,,,,,,,,,,,,"青森県/弘前市/桶屋町/５５番地","140.47044","40.59845","5","7"
